,2,3,4,5,6,7,8,9,10
2,H,H,H,H,H,DS,S,S,S
3,H,H,H,H,DH,DS,S,S,S
4,H,H,DH,DH,DH,DS,S,S,S
5,DH,DH,DH,DH,DH,DS,S,S,S
6,DH,DH,DH,DH,DH,DS,DS,S,S
7,H,H,H,H,H,S,S,S,S
8,H,H,H,H,H,S,S,S,S
9,H,H,H,H,H,H,S,S,S
10,H,H,H,H,H,H,S,S,S
11,H,H,H,H,H,H,S,S,S
